id|score|comment|bookId
99|4|montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus|45
100|4|est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum|544
101|3|fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque|593
102|1|eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis|123
103|2|faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi|687
104|3|molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas|685
105|3|nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at|769
106|4|enim blandit mi in porttitor pede justo eu massa donec dapibus|296
107|4|felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa|978
108|5|erat id mauris vulputate elementum nullam varius nulla facilisi cras|233
109|5|tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend|415
110|5|natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis|679
111|1|nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a|714
112|2|ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec|297
113|3|duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate|393
114|5|potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur|755
115|5|ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non|541
116|2|suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus|435
117|5|orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu|901
118|4|euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec|930
119|1|mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa|164
120|1|consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in|164
121|5|donec dapibus duis at velit eu est congue elementum in hac habitasse|836
122|5|lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis|117
123|2|mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris|811
124|3|dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim|378
125|4|rhoncus dui vel sem sed sagittis nam congue risus semper|333
126|4|eu orci mauris lacinia sapien quis libero nullam sit amet|297
127|4|placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor|717
128|4|eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo|502
129|4|blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit|197
130|2|amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut|114
131|4|at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci|996
132|5|nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros|787
133|5|volutpat quam pede lobortis ligula sit amet eleifend pede libero|206
134|2|enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus|463
135|5|massa donec dapibus duis at velit eu est congue elementum in hac|764
136|4|sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi|894
137|4|sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit|680
138|2|purus eu magna vulputate luctus cum sociis natoque penatibus et|94
139|1|nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue|811
140|5|sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla|475
141|2|nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer|450
142|5|nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu|295
143|1|vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio|677
144|4|dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum|905
145|4|a ipsum integer a nibh in quis justo maecenas rhoncus|903
146|4|porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus|148
147|2|blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt|618
148|4|vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus|271
149|2|blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus|927
150|4|nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu|307
151|3|a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed|972
152|2|urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras|419
153|1|nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh|369
154|3|tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget|980
155|5|convallis nunc proin at turpis a pede posuere nonummy integer non velit|157
156|3|mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in|995
157|4|vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus|863
158|2|erat curabitur gravida nisi at nibh in hac habitasse platea dictumst|155
159|1|augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna|739
160|2|mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis|1000
161|1|viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla|750
162|1|hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut|865
163|4|nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor|312
164|4|aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan|627
165|5|iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci|557
166|2|vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in|50
167|5|natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et|238
168|5|luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur|387
169|4|quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc|823
170|2|aenean fermentum donec ut mauris eget massa tempor convallis nulla neque|456
171|4|eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat|552
172|1|duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse|337
173|2|amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi|37
174|4|in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis|36
175|2|at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at|268
176|2|quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante|25
177|1|et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in|353
178|3|dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula|17
179|2|rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo|321
180|1|orci pede venenatis non sodales sed tincidunt eu felis fusce posuere|740
181|1|posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel|222
182|5|in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat|160
183|5|erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a|161
184|3|in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in|975
185|1|convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum|351
186|5|in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium|408
187|1|orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis|426
188|1|est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante|353
189|3|nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem|800
190|1|congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae|135
191|4|ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac|792
192|2|ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in|730
193|4|dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at|178
194|3|nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus|43
195|4|amet turpis elementum ligula vehicula consequat morbi a ipsum integer|433
196|5|sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor|116
197|4|porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst|940
198|4|sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum|677
199|3|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna|523
200|5|morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus|757
201|3|ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci|583
202|4|nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis|910
203|1|primis in faucibus orci luctus et ultrices posuere cubilia curae mauris|144
204|4|amet diam in magna bibendum imperdiet nullam orci pede venenatis non|2
205|2|etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non|976
206|5|sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod|838
207|1|faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla|472
208|3|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam|553
209|1|vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer|887
210|2|praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse|325
211|3|iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit|884
212|4|sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus|687
213|5|convallis tortor risus dapibus augue vel accumsan tellus nisi eu|415
214|1|congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus|480
215|2|blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id|651
216|5|erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec|895
217|4|tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat|967
218|4|amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim|467
219|5|lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti|838
220|4|tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi|431
221|4|blandit mi in porttitor pede justo eu massa donec dapibus|284
222|3|ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi|83
223|3|nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit|854
224|4|convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis|796
225|1|quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie|351
226|2|tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam|517
227|2|pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique|141
228|5|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel|47
229|5|erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper|881
230|4|gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer|916
231|4|lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate|600
232|1|lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu|104
233|3|sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi|432
234|1|nulla justo aliquam quis turpis eget elit sodales scelerisque mauris|542
235|4|quam sapien varius ut blandit non interdum in ante vestibulum|834
236|1|adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec|516
237|5|ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend|942
238|2|sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus|57
239|2|ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit|561
240|3|cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean|207
241|5|bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede|130
242|2|libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas|327
243|4|potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla|221
244|5|aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac|140
245|3|dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est|154
246|2|at velit eu est congue elementum in hac habitasse platea|276
247|4|dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus|801
248|2|vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis|210
249|2|ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor|142
250|2|curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia|345
251|4|sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus|544
252|4|interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est|580
253|4|ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra|834
254|5|nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et|110
255|4|vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa|487
256|2|in hac habitasse platea dictumst maecenas ut massa quis augue luctus|781
257|5|habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum|894
258|5|magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus|655
259|4|pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante|319
260|2|sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam|681
261|5|ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices|568
262|2|pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam|726
263|2|justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet|360
264|5|mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate|81
265|1|faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec|185
266|4|scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc|43
267|1|molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus|91
268|3|neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet|591
269|4|eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet|720
270|1|sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac|574
271|3|parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum|442
272|1|maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis|866
273|3|phasellus in felis donec semper sapien a libero nam dui proin leo|276
274|4|amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis|644
275|3|morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat|456
276|4|ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus|858
277|2|nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam|385
278|3|id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in|96
279|5|turpis donec posuere metus vitae ipsum aliquam non mauris morbi non|131
280|5|auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum|942
281|2|bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus|550
282|5|phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum|378
283|5|mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis|581
284|5|in faucibus orci luctus et ultrices posuere cubilia curae donec|460
285|4|ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra|825
286|5|in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum|722
287|5|odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt|307
288|2|fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in|668
289|2|diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris|330
290|3|congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien|666
291|2|dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis|777
